report_id,raw_text,incident_type,victim_count,vulnerable_victim,medical_emergency,location_description,severity_hint
80b1e72d-6b23-4486-8d7a-3dd7a22c1fa7,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"76, Merchant Street, Bhalswa Jahangir Pur-156478",HIGH
38662a53-faa0-410b-92d1-5f5b1a514dbf,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"89/104, Buch Nagar, Vijayanagaram 711367",HIGH
fd1340b1-990a-45b1-bfad-a1ae8aa437d5,Water has entered the ground floor. one children are trapped.,FLOOD,1,True,False,"78/504, Dugal Zila, Patna-303635",HIGH
3d25abc8-67df-40fd-8081-20f5df334684,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"916, Thaker Nagar, Shimla 540336",HIGH
04795c25-8bbf-4c18-a67a-06783a6ee932,Family of two stranded on rooftop.,FLOOD,2,False,False,"23, Bhalla Road, Ozhukarai 085824",MEDIUM
1ed605c7-603c-4414-affa-d3e7e0dbfd92,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"16, Dewan Path, Siwan-186418",MEDIUM
64966f6b-b1d6-463f-8c29-aa0a41214b44,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"97/39, Borde Chowk, Chinsurah 052599",HIGH
cf40748e-8195-4eea-9259-daafeec5d12b,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"901, Venkatesh Chowk, Medininagar 251568",MEDIUM
3125b6e4-e9f2-4d12-b099-2de6f2b407dc,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"81, Mitter Path, Saharsa 855932",HIGH
7944a41f-ba87-42a5-b1d6-7de546fcc65d,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"75/60, Karpe Marg, Raebareli-625850",MEDIUM
14d9e970-e1bf-483e-bbeb-41bbfdc7f856,Family of three stranded on rooftop.,FLOOD,3,False,False,"60, Bala Nagar, Panipat 047117",HIGH
a116635a-d51c-43b8-99cc-8f6aa8821fca,Family of five stranded on rooftop.,FLOOD,5,False,False,"87/11, Mangat Marg, Kharagpur-072253",HIGH
fab1b0d5-daea-4501-b5d1-4ff1fd21259d,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"083, Deep Zila, Nizamabad-668078",MEDIUM
7841914e-551e-4f0f-8d9f-a3e4b283bb01,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 38, Shenoy, Solapur-035817",MEDIUM
39bb5ef7-519f-40ac-baae-9f87b61f212a,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 41, Pai Street, Patna 147326",HIGH
e0d0f8bb-17d6-499e-90d0-544372ea4c97,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"37/868, Dyal Marg, Parbhani-707107",HIGH
8d0aa92a-a5a3-438a-ba6f-31966c4da61a,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"36, Divan Path, Shimoga 667805",HIGH
229b33e3-cdee-4123-887d-db5d0ee7effa,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"14/240, Madan Nagar, Salem-487521",HIGH
3b4d4f4f-ad97-4e44-8dc9-44e175501540,Family of three stranded on rooftop.,FLOOD,3,False,False,"173, Goswami Marg, Gangtok-749211",HIGH
2230acdf-0d89-4791-bd1d-53648c54416c,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"H.No. 163, Morar Circle, Asansol 000397",HIGH
39e8eea4-3e98-466b-803b-3b525a33b73b,3 people trapped inside a flooded house. One person is disabled.,FLOOD,3,True,False,"H.No. 04, Ben Nagar, Thiruvananthapuram-524136",HIGH
d693b67c-ff0e-48b5-9dbe-9f2c8a18d3bc,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 19, Khare, Sirsa-368411",HIGH
5780ba82-5bd4-4622-87e1-892729ac2288,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"322, Pau Chowk, Kollam-819554",MEDIUM
